palavra,lema,Polaridade,Subjetividade
vegetais,vegetal,0.0,0.0
favoritos,favorito,0.0,0.0
consigo,consigo,0.0,0.0
comer,comer,0.0,0.0
gordura,gordura,0.0,0.0
carne,carne,0.0,0.0
quase,quase,0.0,0.0
hoje,hoje,0.0,0.0
dia,dia,0.0,0.0
desejavas,desejavo,0.0,0.0
eras,era,0.0,0.0
criança,criança,0.0,0.0
queria,querer,0.0,0.0
médico,médico,0.0,0.0
curar,curar,0.0,0.0
diabetes,diabete,0.0,0.0
avó,avó,0.0,0.0
paterna,paternar,0.0,0.0
percebi,percebi,0.0,0.0
cura,cura,0.0,0.0
motivação,motivação,0.0,0.0
quis,querer,0.0,0.0
polícia,polícia,0.0,0.0
influenciado,influenciar,0.0,0.0
séries,série,0.0,0.0
americanas,americana,0.0,0.0
pudesses,pudesses,0.0,0.0
reviver,reviver,0.0,0.0
dia,dia,0.0,0.0
infância,infância,0.0,0.0
escolherias,escolheria,0.0,0.0
dia,dia,0.0,0.0
natal,natal,0.0,0.0
avó,avó,0.0,0.0
materna,materno,0.0,0.0
avô,avô,0.0,0.0
paterno,paterno,0.0,0.0
vivos,vivo,0.0,0.0
estarmos,estar,0.0,0.0
juntos,junto,0.0,0.0
mesma,mesmo,0.0,0.0
mesa,mesa,0.0,0.0
dia,dia,0.0,0.0
perfeito,perfeito,0.0,0.0
reviver,reviver,0.0,0.0
hesitaria,hesitar,0.0,0.0
entrevista,entrevista,0.0,0.0
